"Model","Parameter","Rhat"
"Rate(UV>=50)","mu[44]",1.00023515748394
"Rate(UV>=50)","mu[45]",1.0000666271586
"Rate(UV>=50)","mu[46]",1.00006286445384
"Rate(UV>=50)","mu[47]",1.00030638256273
"Rate(UV>=50)","mu[48]",1.00034016553115
"Rate(UV>=50)","mu[49]",1.00022761643262
"Rate(UV>=50)","mu[50]",1.00011191774127
"Rate(UV>=50)","mu[51]",1.00033240231653
"Rate(UV>=50)","mu[52]",1.00030466391928
"Rate(UV>=50)","mu[53]",1.000297800197
"Rate(UV>=50)","mu[54]",1.00021081984259
"Rate(UV>=50)","mu[55]",1.00033297212929
"Rate(UV>=50)","mu[56]",1.00029092844921
"Rate(UV>=50)","mu[57]",1.00018900196728
"Rate(UV>=50)","mu[58]",1.00013969688564
"Rate(UV>=50)","mu[59]",1.00028475702351
"Rate(UV>=50)","mu[60]",1.00033841665033
"Rate(UV>=50)","mu[61]",1.00019849491372
"Rate(UV>=50)","mu[62]",1.00027042398729
"Rate(UV>=50)","mu[63]",1.00010915693791
"Rate(UV>=50)","mu[64]",1.00007875474846
"Rate(UV>=50)","mu[65]",1.000120204429
"Rate(UV>=50)","mu[66]",1.00023654876329
"Rate(UV>=50)","mu[67]",1.00008648710023
"Rate(UV>=50)","lp__",1.0003174847282
